2017-07-04 16:38:09,920 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-04 16:38:09,925 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-04 16:38:09,929 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-04 16:38:09,932 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-04 16:41:15,265 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.kaishengit:mybatis:0.0.1-SNAPSHOT @ E:\myspace\mybatis\pom.xml.
2017-07-04 16:41:15,391 [Worker-37] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/mysql/mysql-connector-java/5.1.40/mysql-connector-java-5.1.40.pom
2017-07-04 16:41:15,800 [Worker-37] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/mysql/mysql-connector-java/5.1.40/mysql-connector-java-5.1.40.pom
2017-07-04 16:41:15,821 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/mysql/mysql-connector-java/5.1.40/mysql-connector-java-5.1.40.pom
2017-07-04 16:41:16,279 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/mysql/mysql-connector-java/5.1.40/mysql-connector-java-5.1.40.pom
2017-07-04 16:41:16,352 [Worker-37] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/slf4j/slf4j-log4j12/1.7.25/slf4j-log4j12-1.7.25.pom
2017-07-04 16:41:16,639 [Worker-37] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/slf4j/slf4j-log4j12/1.7.25/slf4j-log4j12-1.7.25.pom
2017-07-04 16:41:16,667 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/org/slf4j/slf4j-log4j12/1.7.25/slf4j-log4j12-1.7.25.pom
2017-07-04 16:41:16,977 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/org/slf4j/slf4j-log4j12/1.7.25/slf4j-log4j12-1.7.25.pom
2017-07-04 16:41:17,014 [Worker-37] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/log4j/log4j/1.2.17/log4j-1.2.17.pom
